Date,Open,High,Low,Close,Volume,PctChange,Adj Close
2012-09-24,2183.969,2225.805,2172.879,2215.516,3750168600.0,0.748182296753,2215.516
2012-09-25,2209.975,2225.334,2202.376,2210.154,2787701900.0,-0.242020368576,2210.154
2012-09-26,2208.906,2216.824,2181.083,2184.891,2745462600.0,-1.14304256439,2184.891
2012-09-27,2186.004,2266.297,2185.766,2251.717,5301690000.0,3.05855083466,2251.717
2012-09-28,2235.057,2297.033,2234.323,2293.106,5787582500.0,1.83810842037,2293.106
2012-10-08,2291.961,2305.18,2258.11,2270.054,3553442400.0,-1.00527405739,2270.054
2012-10-09,2281.753,2327.727,2281.753,2320.157,5254888700.0,2.20712804794,2320.157
2012-10-10,2314.593,2325.749,2304.608,2324.117,4268623800.0,0.170678108931,2324.117
2012-10-11,2315.897,2321.352,2300.934,2302.533,4130065500.0,-0.928696811199,2302.533
2012-10-12,2311.284,2332.149,2287.009,2304.531,3687414500.0,0.0867739990354,2304.531
2012-10-15,2306.006,2307.882,2278.457,2294.857,2865174600.0,-0.419781714678,2294.857
2012-10-16,2293.244,2315.453,2287.59,2298.162,3205967900.0,0.144017681479,2298.162
2012-10-17,2307.358,2312.173,2280.818,2300.803,3334940900.0,0.11491791904,2300.803
2012-10-18,2307.487,2341.12,2305.883,2336.077,5061510000.0,1.53311693668,2336.077
2012-10-19,2335.105,2342.527,2328.733,2332.47,3592773200.0,-0.154404163361,2332.47
2012-10-22,2320.468,2347.895,2315.895,2341.592,3436828600.0,0.391087561846,2341.592
2012-10-23,2340.89,2344.044,2309.252,2312.077,3722127200.0,-1.26046729088,2312.077
2012-10-24,2303.401,2321.43,2302.169,2307.779,3754244500.0,-0.185893461108,2307.779
2012-10-25,2306.733,2322.917,2288.601,2291.239,4435153100.0,-0.716706395149,2291.239
2012-10-26,2291.31,2293.176,2237.059,2247.907,4090051900.0,-1.89120388031,2247.907
2012-10-29,2241.802,2248.139,2227.646,2235.854,2758132500.0,-0.536187648773,2235.854
2012-10-30,2236.316,2257.951,2231.776,2239.882,3408312500.0,0.180154874921,2239.882
2012-10-31,2241.432,2256.095,2233.684,2254.82,3716979500.0,0.666910111904,2254.82
2012-11-01,2256.609,2305.629,2256.412,2297.884,5076172900.0,1.90986418724,2297.884
2012-11-02,2297.898,2309.666,2284.719,2306.774,3983328800.0,0.386877655983,2306.774
2012-11-05,2302.742,2318.231,2290.135,2301.88,3951037200.0,-0.21215775609,2301.88
2012-11-06,2301.98,2304.048,2260.507,2292.206,3928062700.0,-0.420265167952,2292.206
2012-11-07,2288.763,2300.893,2277.02,2287.505,3306740300.0,-0.205086275935,2287.505
2012-11-08,2269.582,2275.401,2245.4,2245.405,3542647500.0,-1.84043312073,2245.405
2012-11-09,2241.756,2252.196,2235.231,2240.924,3050696800.0,-0.199563100934,2240.924
2012-11-12,2242.96,2254.703,2232.742,2251.848,3472168500.0,0.487477481365,2251.848
2012-11-13,2250.842,2250.842,2208.723,2212.44,3408370400.0,-1.75002932549,2212.44
2012-11-14,2213.086,2225.124,2205.996,2223.11,2675879000.0,0.482272952795,2223.11
2012-11-15,2210.751,2220.987,2193.516,2193.623,2831915100.0,-1.32638514042,2193.623
2012-11-16,2189.511,2191.611,2162.976,2177.24,3024778600.0,-0.746846675873,2177.24
2012-11-19,2175.184,2176.492,2149.538,2174.985,2697866600.0,-0.103571496904,2174.985
2012-11-20,2180.205,2184.334,2163.527,2164.881,2394891600.0,-0.464554935694,2164.881
2012-11-21,2165.408,2195.461,2151.38,2194.896,3050848200.0,1.38645029068,2194.896
2012-11-22,2181.179,2185.577,2169.657,2177.546,2291235100.0,-0.7904702425,2177.546
2012-11-23,2184.409,2202.47,2179.727,2192.676,2866749300.0,0.694818854332,2192.676
2012-11-26,2187.24,2191.359,2172.1,2175.599,2474269600.0,-0.778820037842,2175.599
2012-11-27,2168.589,2173.464,2150.222,2150.638,3194674600.0,-1.14731621742,2150.638
2012-11-28,2142.5,2144.802,2126.03,2129.161,3000933900.0,-0.998633921146,2129.161
2012-11-29,2128.803,2140.877,2114.477,2115.676,2967062500.0,-0.633348047733,2115.676
2012-11-30,2114.244,2142.856,2109.963,2139.661,3640691100.0,1.13368022442,2139.661
2012-12-03,2136.696,2152.608,2108.149,2108.85,4018676200.0,-1.43999445438,2108.85
2012-12-04,2104.928,2135.662,2102.135,2131.473,3622591500.0,1.0727647543,2131.473
2012-12-05,2128.387,2219.094,2126.793,2207.878,8248710300.0,3.58461022377,2207.878
2012-12-06,2205.605,2216.976,2191.227,2203.602,4857468900.0,-0.193670123816,2203.602
2012-12-07,2203.887,2250.529,2198.107,2246.757,7616974800.0,1.95838451385,2246.757
2012-12-10,2254.915,2276.28,2250.437,2271.046,7337547500.0,1.08106935024,2271.046
2012-12-11,2263.209,2274.994,2254.299,2258.5,5146870300.0,-0.552432656288,2258.5
2012-12-12,2257.73,2273.211,2247.953,2267.767,4500645400.0,0.410316586494,2267.767
2012-12-13,2260.601,2266.721,2242.557,2242.635,4194210000.0,-1.10822677612,2242.635
2012-12-14,2245.636,2357.106,2245.636,2355.865,11089256200.0,5.04897117615,2355.865
2012-12-17,2359.201,2380.001,2358.664,2366.7,9408819500.0,0.459915995598,2366.7
2012-12-18,2361.095,2398.63,2347.077,2368.12,8578484900.0,0.0599991567433,2368.12
2012-12-19,2362.802,2387.142,2358.033,2371.109,6329253000.0,0.126218259335,2371.109
2012-12-20,2361.322,2391.924,2346.55,2384.816,6565546200.0,0.5780839324,2384.816
2012-12-21,2386.376,2414.223,2365.032,2372.002,6871415800.0,-0.537316083908,2372.002
2012-12-24,2368.007,2396.725,2367.038,2381.217,5308700400.0,0.388490408659,2381.217
2012-12-25,2373.88,2459.302,2365.41,2448.395,9550235000.0,2.82116246223,2448.395
2012-12-26,2445.987,2458.007,2441.642,2457.619,7159182800.0,0.376736611128,2457.619
2012-12-27,2464.779,2479.792,2443.681,2444.594,7325506700.0,-0.529984533787,2444.594
2012-12-28,2448.076,2481.592,2444.381,2480.049,6716632100.0,1.45034313202,2480.049
2012-12-31,2485.559,2522.952,2485.559,2522.952,8200229300.0,1.72992551327,2522.952
2013-01-04,2551.814,2558.529,2498.892,2524.409,9798818200.0,0.0577498115599,2524.409
2013-01-07,2518.047,2545.969,2511.603,2535.985,7516799300.0,0.458562791348,2535.985
2013-01-08,2534.647,2540.513,2502.49,2525.33,7183710000.0,-0.420152336359,2525.33
2013-01-09,2518.104,2534.239,2504.299,2526.126,7023117000.0,0.0315206311643,2526.126
2013-01-10,2525.59,2553.352,2513.729,2530.569,7108586200.0,0.175881966949,2530.569
2013-01-11,2533.495,2539.794,2473.696,2483.23,7423917600.0,-1.87068605423,2483.23
2013-01-14,2474.176,2583.625,2473.998,2577.725,9355409100.0,3.80532622337,2577.725
2013-01-15,2579.132,2605.41,2576.919,2595.856,9862080500.0,0.703372180462,2595.856
2013-01-16,2591.365,2600.093,2540.521,2577.092,9353608400.0,-0.722844421864,2577.092
2013-01-17,2570.711,2575.058,2539.674,2552.758,6991523900.0,-0.944242596626,2552.758
2013-01-18,2568.692,2607.446,2553.451,2595.439,7794030300.0,1.67195641994,2595.439
2013-01-21,2605.649,2611.201,2582.652,2610.898,8413374200.0,0.59562176466,2610.898
2013-01-22,2610.392,2620.025,2578.181,2596.898,10576627500.0,-0.536213994026,2596.898
2013-01-23,2588.198,2611.409,2576.362,2607.456,7573944400.0,0.406561970711,2607.456
2013-01-24,2606.427,2663.404,2564.206,2582.755,11127717200.0,-0.94732183218,2582.755
2013-01-25,2580.881,2591.513,2567.107,2571.674,5848735900.0,-0.429037988186,2571.674
2013-01-28,2577.267,2651.967,2577.267,2651.863,9127479000.0,3.11816358566,2651.863
2013-01-29,2655.377,2685.531,2646.154,2675.866,10104022900.0,0.905137240887,2675.866
2013-01-30,2678.433,2689.683,2662.062,2688.711,9987499000.0,0.480031520128,2688.711
2013-01-31,2690.951,2696.881,2671.33,2686.882,9674010100.0,-0.0680251643062,2686.882
2013-02-01,2677.187,2744.322,2671.274,2743.324,10387951500.0,2.10065054893,2743.324
2013-02-04,2753.688,2768.504,2731.08,2748.028,12793917900.0,0.171470820904,2748.028
2013-02-05,2727.93,2779.953,2725.362,2771.675,11613081900.0,0.860507965088,2771.675
2013-02-06,2771.908,2787.456,2765.743,2775.844,8277927100.0,0.150414466858,2775.844
2013-02-07,2771.53,2775.974,2722.874,2759.87,8997814200.0,-0.575464606285,2759.87
2013-02-08,2755.649,2791.303,2747.946,2771.725,7742964400.0,0.429549217224,2771.725
2013-02-18,2784.065,2787.74,2731.506,2737.471,7643822700.0,-1.23583686352,2737.471
2013-02-19,2735.045,2740.739,2674.339,2685.606,8062643100.0,-1.89463198185,2685.606
2013-02-20,2686.093,2703.098,2665.231,2702.635,7001937700.0,0.634084105492,2702.635
2013-02-21,2675.741,2675.741,2584.758,2610.549,10065798400.0,-3.40726733208,2610.549
